Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Comoros,2015,59th,Warning,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8,7.4,1.44,0.63,0.724,4,0.724
Congo Democratic Republic,2015,5th,Alert,9.5,9.5,9.5,7.9,8.8,7.1,9,9.7,10,9.5,9.4,9.8,6.33,0.76,0.469,0.498,6.5,0.498
Congo Republic,2015,33rd,Warning,6.7,6.7,6.6,6.4,8.2,6.8,8.7,9.1,7.9,7.8,8.3,7.6,6.23,1.92,0.52,0.59,0.7,0.59
Costa Rica,2015,142nd,Stable,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,5.87,3.46,0.457,0.425,0.41,0.425
Cote dIvoire,2015,15th,Warning,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9,7.9,8.1,9,9.7,7.94,0.54,0.684,0.775,0,0.775
Croatia,2015,137th,Warning,4,4.4,5.7,5.3,3.8,4.5,3.4,2.9,4.1,3.6,4.9,4.4,7.73,3.22,0.795,0.823,6.4,0.823
Cuba,2015,112th,Stable,5.7,7,4.5,4.5,5.9,5.7,7,4.7,7.3,5.6,4.5,5,7.94,1.22,0.779,0.773,0.31,0.773
Cyprus,2015,114th,Warning,4.4,7.9,7,6.7,6.4,4.5,5.3,3,3.3,4,4.5,9.2,8.02,1.88,0.786,0.854,4.9,0.854
Czech Republic,2015,154th,Stable,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6,7.86,1.32,0.878,0.875,0,0.875
Denmark,2015,175th,Sustainable,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,5.15,11.14,0.406,0.466,4.01,0.466
Djibouti,2015,41st,Warning,6.9,7.3,6.6,7.4,7.8,5.8,7.6,7.8,7.2,8.2,7.1,8.4,8.02,2.9,0.923,0.923,0,0.923
Dominican Republic,2015,104th,Warning,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9,6.2,0.76,0.31,0.47,7.29,0.47
Ecuador,2015,85th,Warning,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6,7.78,2.6,0.615,0.724,0,0.724
Egypt,2015,38th,Warning,8.2,9,8.7,8.1,6.5,4.7,8.7,5.4,9.8,7.1,6.7,7.1,7.35,1.24,0.622,0.718,0,0.718
El Salvador,2015,102nd,Warning,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,7.59,1.72,0.665,0.739,0,0.739
Equatorial Guinea,2015,54th,Warning,7,8.2,6.3,5.2,9,6,9.8,7.1,9.7,7.7,3.3,5.5,7.11,1.66,0.597,0.688,0.14,0.688
