Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Chile,2016,150th,41.9,2.9,2.2,3.8,3.3,5.4,3.5,3.5,4.2,3.2,5.4,2.2,2.3,5.19,0.92,2.8,3.96,9.213,3.96
China,2016,86th,74.9,5.6,7.2,8.1,4.1,7.5,4.6,8.3,5.9,8.7,6.9,5.1,2.9,8.2,2,7.84,8.47,0,8.47
Colombia,2016,67th,80.2,7,7.6,7,3.9,7.8,6.3,6.5,6.1,7.2,6.7,7.9,6.2,7.6,3.92,6.31,7.38,4.894,7.38
Comoros,2016,57th,83.8,6.9,7.5,5,8.2,7.2,7.6,6.8,8.4,6.5,7.5,4.7,7.5,7.42,1.44,6.3,7.27,7.642,7.27
Congo Democratic Republic,2016,8th,110.0,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,6.36,0.76,4.69,4.98,1.71,4.98
Congo Republic,2016,31st,92.2,6.7,6.7,6.9,6.7,8.3,7.1,9.1,9.2,8.2,8.1,7.9,7.3,6.29,1.72,5.2,5.92,0,5.92
Costa Rica,2016,142nd,45.1,3.3,3.8,4.4,4.2,5.5,3.8,2.6,4.1,1.7,3.8,3.6,4.3,5.91,3.22,4.75,4.35,1.674,4.35
Cote dIvoire,2016,21st,97.9,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,7.96,0.6,6.84,7.76,0,7.76
Croatia,2016,136th,52.4,3.7,4.4,6,5.5,3.5,4.2,3.1,2.6,3.8,3.3,7.5,4.8,7.75,3.12,7.98,8.27,0,8.27
Cuba,2016,114th,66.3,5.4,7,4.2,4.2,5.6,5.4,7.3,4.3,7.7,5.7,4.2,5.3,7.96,1.04,7.79,7.75,2.421,7.75
Cyprus,2016,119th,64.0,4.1,7.9,6.5,6.4,6.1,4.2,5,2.7,3.2,3.7,5,9.2,8.03,1.9,7.86,8.56,3.969,8.56
Czech Republic,2016,151st,40.8,2.3,5,5,4.3,2.9,2.5,4.9,2.8,2.6,1.6,4,2.9,7.88,1.26,8.78,8.78,0,8.78
Denmark,2016,175th,21.5,1.4,1.4,4.6,2.2,1.8,1.6,0.6,1.1,1.7,2.2,1.8,1.1,5.19,10.78,4.15,4.74,0.115,4.74
Djibouti,2016,39th,89.7,6.6,7.3,6.7,7.1,8.1,5.5,7.9,8.1,7.5,8.5,7.5,8.9,8.04,2.88,9.23,9.25,2.484,9.25
Dominican Republic,2016,105th,70.8,5.5,6.2,6,5.2,6,7.3,5.7,6.8,6,7,3.5,5.6,6.23,0.86,3.1,4.73,0.076,4.73
Ecuador,2016,84th,75.6,6.5,8.2,7.5,5.5,6.9,5.9,6.7,6,5.2,6,5.4,5.8,7.79,2.42,6.18,7.26,4.553,7.26
